City,Lat,Long,Total_Revenue,Population,Revenue_per_capita,Population_Fbi,Violent_Crime,Murder,Rape,Robbery,Agg_Assault,Property_Crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,,,,,,,,,,,,,,,,,,,,,
Twentynine Palms,34.1484,-116.0655,"10,340,762","26,138",396,"26,213",92,0,8,15,69,364,148,167,49,5,,,,,,,,,,,,,,,,,,,,,
Ukiah,39.1461,-123.2101,"53,305,267","16,186","3,293","15,897",150,0,15,29,106,431,107,284,40,2,,,,,,,,,,,,,,,,,,,,,
Union City,37.603,-122.0187,"111,670,744","72,952","1,531","75,501",281,1,12,111,157,"1,897",298,"1,258",341,11,,,,,,,,,,,,,,,,,,,,,
Upland,34.1178,-117.6603,"94,421,861","75,774","1,246","76,956",243,1,18,96,128,"2,301",673,"1,285",343,11,,,,,,,,,,,,,,,,,,,,,
Vacaville,38.3592,-121.9686,"199,976,223","97,667","2,048","97,671",207,0,11,76,120,"2,057",189,"1,690",178,7,,,,,,,,,,,,,,,,,,,,,
Vallejo,38.1134,-122.2359,"185,537,358","117,322","1,581","122,293","1,053",15,111,353,574,"4,810","2,366","1,321","1,123",73,,,,,,,,,,,,,,,,,,,,,
Vernon,34.0019,-118.2106,"365,179,120",210,"1,738,948",114,28,1,1,18,8,376,44,207,125,4,,,,,,,,,,,,,,,,,,,,,
Victorville,34.5277,-117.3537,"128,364,383","123,510","1,039","123,438",748,7,46,224,471,"3,528",953,"2,002",573,25,,,,,,,,,,,,,,,,,,,,,
Villa Park,33.818,-117.8104,"4,318,330","5,948",726,"5,991",4,0,1,1,2,82,22,57,3,0,,,,,,,,,,,,,,,,,,,,,
Visalia,36.3271,-119.3265,"233,729,494","130,231","1,795","131,186",480,8,68,120,284,"4,196",998,"2,561",637,11,,,,,,,,,,,,,,,,,,,,,
Vista,33.1895,-117.2386,"127,239,317","98,896","1,287","102,307",372,2,41,99,230,"1,615",351,989,275,8,,,,,,,,,,,,,,,,,,,,,
Walnut,34.0334,-117.8593,"18,987,710","30,152",630,"30,447",25,2,2,7,14,516,285,200,31,3,,,,,,,,,,,,,,,,,,,,,
Walnut Creek,37.9025,-122.0398,"108,690,860","70,018","1,552","69,860",78,1,1,30,46,"2,120",275,"1,611",234,4,,,,,,,,,,,,,,,,,,,,,
Waterford,37.643,-120.7553,"7,567,433","8,788",861,"8,897",12,0,2,0,10,125,27,75,23,0,,,,,,,,,,,,,,,,,,,,,
Watsonville,36.9206,-121.7706,"95,170,420","52,891","1,799","54,110",238,0,26,46,166,"1,738",214,"1,018",506,8,,,,,,,,,,,,,,,,,,,,,
Weed,41.4127,-122.3815,"6,679,574","2,769","2,412","2,479",23,0,1,5,17,99,13,78,8,0,,,,,,,,,,,,,,,,,,,,,
West Covina,34.0555,-117.9112,"82,156,793","107,873",762,"108,950",265,4,18,110,133,"2,811",519,"1,794",498,10,,,,,,,,,,,,,,,,,,,,,
West Hollywood,34.0883,-118.3718,"214,381,292","35,923","5,968","36,594",275,2,26,119,128,"1,601",241,"1,217",143,9,,,,,,,,,,,,,,,,,,,,,
West Sacramento,38.5556,-121.5504,"124,636,088","53,082","2,348","53,532",233,0,17,95,121,"1,219",191,856,172,21,,,,,,,,,,,,,,,,,,,,,
Westlake Village,34.1458,-118.8056,"33,515,372","8,384","3,998","8,547",16,0,4,2,10,204,37,161,6,1,,,,,,,,,,,,,,,,,,,,,
Westminster,33.7523,-117.9938,"71,191,518","94,073",757,"92,582",309,2,31,96,180,"2,720",529,"1,854",337,7,,,,,,,,,,,,,,,,,,,,,
Westmorland,33.0389,-115.6223,"2,682,803","2,256","1,189","2,275",2,0,0,0,2,9,4,3,2,0,,,,,,,,,,,,,,,,,,,,,
Wheatland,39.0073,-121.4283,"3,865,435","3,519","1,098","3,775",12,0,0,0,12,48,13,28,7,1,,,,,,,,,,,,,,,,,,,,,
Whittier,33.9678,-118.0188,"88,315,452","88,341","1,000","87,860",258,2,21,97,138,"2,790",467,"1,933",390,7,,,,,,,,,,,,,,,,,,,,,
Wildomar,33.6173,-117.2582,"14,296,140","35,168",407,"36,310",49,0,5,9,35,655,129,391,135,2,,,,,,,,,,,,,,,,,,,,,
Williams,39.1489,-122.1373,"10,923,109","5,413","2,018","5,208",6,0,2,0,4,61,17,40,4,0,,,,,,,,,,,,,,,,,,,,,
Willits,39.405,-123.3494,"12,358,144","4,879","2,533","4,856",66,0,3,4,59,54,10,22,22,0,,,,,,,,,,,,,,,,,,,,,
Willows,39.5147,-122.1992,"6,731,298","6,213","1,083","6,053",42,0,2,5,35,222,32,170,20,7,,,,,,,,,,,,,,,,,,,,,
Windsor,38.5417,-122.8086,"19,293,266","27,031",714,"27,594",84,0,14,7,63,311,49,246,16,1,,,,,,,,,,,,,,,,,,,,,
Winters,38.532,-121.9781,"12,324,001","7,214","1,708","7,120",12,0,0,3,9,98,18,66,14,3,,,,,,,,,,,,,,,,,,,,,
Woodlake,36.4124,-119.0998,"11,746,854","7,648","1,536","7,727",25,0,2,3,20,99,23,67,9,3,,,,,,,,,,,,,,,,,,,,,
Woodland,38.6712,-121.75,"107,784,365","57,526","1,874","59,190",218,3,14,54,147,"1,522",221,"1,037",264,17,,,,,,,,,,,,,,,,,,,,,
Yorba Linda,33.889,-117.7714,"58,933,752","67,637",871,"68,702",41,0,11,6,24,725,150,514,61,0,,,,,,,,,,,,,,,,,,,,,
Yountville,38.3956,-122.3669,"17,948,151","2,987","6,009","3,030",4,0,0,0,4,47,16,28,3,0,,,,,,,,,,,,,,,,,,,,,
Yreka,41.7292,-122.6312,"16,129,756","7,832","2,059","7,559",54,1,2,3,48,268,74,152,42,3,,,,,,,,,,,,,,,,,,,,,
Yuba City,39.1357,-121.6381,"83,912,372","68,052","1,233","67,198",272,8,24,76,164,"2,030",406,"1,389",235,7,,,,,,,,,,,,,,,,,,,,,
Yucaipa,34.0335,-117.0426,"33,210,276","53,779",618,"53,697",113,0,11,20,82,"1,162",263,730,169,4,,,,,,,,,,,,,,,,,,,,,
Yucca Valley,34.1231,-116.4215,"14,474,085","21,281",680,"21,774",85,1,2,15,67,417,131,229,57,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
